condition,family,x_value,x_label,realization_count,realizations,global_phase_values_deg,range_offset_values_m,snr_db,calibration_gain_peak_bound_db,calibration_phase_peak_bound_deg,draw_distribution,rng_key,checkpoint_seed_count,checkpoint_seeds,fold_count,held_object_count,directions_per_object,object_metric_rows_per_arm,direction_predictions_per_arm,independent_inference_unit
cal_0p5db_5deg,calibration_ripple,0.5,0.5 dB / 5 deg,3,draw0;draw1;draw2,0.0;0.0;0.0,0.0;0.0;0.0,,0.5,5.0,"three session-level smooth-ripple draws; harmonic phases iid Uniform(-pi, pi)","stable_seed('cal-gain'|'cal-phase', condition, realization, receive_channel)",7,70;71;72;73;74;75;76,4,20,60,420,25200,20 held objects
cal_1db_10deg,calibration_ripple,1.0,1 dB / 10 deg,3,draw0;draw1;draw2,0.0;0.0;0.0,0.0;0.0;0.0,,1.0,10.0,"three session-level smooth-ripple draws; harmonic phases iid Uniform(-pi, pi)","stable_seed('cal-gain'|'cal-phase', condition, realization, receive_channel)",7,70;71;72;73;74;75;76,4,20,60,420,25200,20 held objects
cal_2db_20deg,calibration_ripple,2.0,2 dB / 20 deg,3,draw0;draw1;draw2,0.0;0.0;0.0,0.0;0.0;0.0,,2.0,20.0,"three session-level smooth-ripple draws; harmonic phases iid Uniform(-pi, pi)","stable_seed('cal-gain'|'cal-phase', condition, realization, receive_channel)",7,70;71;72;73;74;75;76,4,20,60,420,25200,20 held objects
clean,clean,0.0,clean,1,clean,0.0,0.0,,0.0,0.0,deterministic identity,none,7,70;71;72;73;74;75;76,4,20,60,140,8400,20 held objects
phase_15deg,global_phase,15.0,15 deg,2,minus;plus,-15.0;15.0,0.0;0.0,,0.0,0.0,equal-weight deterministic signed offsets; +180 only because +/-180 are equivalent,none,7,70;71;72;73;74;75;76,4,20,60,280,16800,20 held objects
phase_180deg,global_phase,180.0,180 deg,1,plus,180.0,0.0,,0.0,0.0,equal-weight deterministic signed offsets; +180 only because +/-180 are equivalent,none,7,70;71;72;73;74;75;76,4,20,60,140,8400,20 held objects
phase_30deg,global_phase,30.0,30 deg,2,minus;plus,-30.0;30.0,0.0;0.0,,0.0,0.0,equal-weight deterministic signed offsets; +180 only because +/-180 are equivalent,none,7,70;71;72;73;74;75;76,4,20,60,280,16800,20 held objects
phase_60deg,global_phase,60.0,60 deg,2,minus;plus,-60.0;60.0,0.0;0.0,,0.0,0.0,equal-weight deterministic signed offsets; +180 only because +/-180 are equivalent,none,7,70;71;72;73;74;75;76,4,20,60,280,16800,20 held objects
phase_90deg,global_phase,90.0,90 deg,2,minus;plus,-90.0;90.0,0.0;0.0,,0.0,0.0,equal-weight deterministic signed offsets; +180 only because +/-180 are equivalent,none,7,70;71;72;73;74;75;76,4,20,60,280,16800,20 held objects
range_10cm,range_delay,10.0,10 cm,2,minus;plus,0.0;0.0,-0.1;0.1,,0.0,0.0,equal-weight deterministic signed monostatic radial offsets,none,7,70;71;72;73;74;75;76,4,20,60,280,16800,20 held objects
range_1cm,range_delay,1.0,1 cm,2,minus;plus,0.0;0.0,-0.01;0.01,,0.0,0.0,equal-weight deterministic signed monostatic radial offsets,none,7,70;71;72;73;74;75;76,4,20,60,280,16800,20 held objects
range_2cm,range_delay,2.0,2 cm,2,minus;plus,0.0;0.0,-0.02;0.02,,0.0,0.0,equal-weight deterministic signed monostatic radial offsets,none,7,70;71;72;73;74;75;76,4,20,60,280,16800,20 held objects
range_5cm,range_delay,5.0,5 cm,2,minus;plus,0.0;0.0,-0.05;0.05,,0.0,0.0,equal-weight deterministic signed monostatic radial offsets,none,7,70;71;72;73;74;75;76,4,20,60,280,16800,20 held objects
snr_0db,receiver_awgn,0.0,0 dB,3,draw0;draw1;draw2,0.0;0.0;0.0,0.0;0.0;0.0,0.0,0.0,0.0,three independent proper-complex Gaussian draws per sample and SNR,"stable_seed('receiver-awgn', condition, realization, sample_id)",7,70;71;72;73;74;75;76,4,20,60,420,25200,20 held objects
snr_10db,receiver_awgn,10.0,10 dB,3,draw0;draw1;draw2,0.0;0.0;0.0,0.0;0.0;0.0,10.0,0.0,0.0,three independent proper-complex Gaussian draws per sample and SNR,"stable_seed('receiver-awgn', condition, realization, sample_id)",7,70;71;72;73;74;75;76,4,20,60,420,25200,20 held objects
snr_20db,receiver_awgn,20.0,20 dB,3,draw0;draw1;draw2,0.0;0.0;0.0,0.0;0.0;0.0,20.0,0.0,0.0,three independent proper-complex Gaussian draws per sample and SNR,"stable_seed('receiver-awgn', condition, realization, sample_id)",7,70;71;72;73;74;75;76,4,20,60,420,25200,20 held objects
snr_30db,receiver_awgn,30.0,30 dB,3,draw0;draw1;draw2,0.0;0.0;0.0,0.0;0.0;0.0,30.0,0.0,0.0,three independent proper-complex Gaussian draws per sample and SNR,"stable_seed('receiver-awgn', condition, realization, sample_id)",7,70;71;72;73;74;75;76,4,20,60,420,25200,20 held objects
snr_5db,receiver_awgn,5.0,5 dB,3,draw0;draw1;draw2,0.0;0.0;0.0,0.0;0.0;0.0,5.0,0.0,0.0,three independent proper-complex Gaussian draws per sample and SNR,"stable_seed('receiver-awgn', condition, realization, sample_id)",7,70;71;72;73;74;75;76,4,20,60,420,25200,20 held objects
