object_a,object_b,standardized_14d_descriptor_distance,exact_file_hash_duplicate,scope,distance_rank
b7c1,baa9,1.194556745915818,False,coarse descriptor only; not a semantic or registered-shape equivalence test,1
b812,b9e6,1.5402642353802258,False,coarse descriptor only; not a semantic or registered-shape equivalence test,2
b905,bb7c,1.5597925773122903,False,coarse descriptor only; not a semantic or registered-shape equivalence test,3
b905,b974,1.608843774869186,False,coarse descriptor only; not a semantic or registered-shape equivalence test,4
b7c1,b8ed,1.6405893948327868,False,coarse descriptor only; not a semantic or registered-shape equivalence test,5
b9e6,bb7c,1.7313735089972002,False,coarse descriptor only; not a semantic or registered-shape equivalence test,6
b974,bb7c,1.743366982652093,False,coarse descriptor only; not a semantic or registered-shape equivalence test,7
b812,b974,1.8017221977698414,False,coarse descriptor only; not a semantic or registered-shape equivalence test,8
b80b,b974,1.819456899600568,False,coarse descriptor only; not a semantic or registered-shape equivalence test,9
b80b,b905,1.8772021154602097,False,coarse descriptor only; not a semantic or registered-shape equivalence test,10
b974,b9e6,1.878272882559479,False,coarse descriptor only; not a semantic or registered-shape equivalence test,11
b80b,bb7c,1.9270969846635801,False,coarse descriptor only; not a semantic or registered-shape equivalence test,12
b80b,b9e6,1.9434628280989859,False,coarse descriptor only; not a semantic or registered-shape equivalence test,13
b974,baa9,2.0379399337094024,False,coarse descriptor only; not a semantic or registered-shape equivalence test,14
b905,b943,2.0486064044564203,False,coarse descriptor only; not a semantic or registered-shape equivalence test,15
b943,bb7c,2.1090797407479425,False,coarse descriptor only; not a semantic or registered-shape equivalence test,16
b80b,b812,2.1123610670446995,False,coarse descriptor only; not a semantic or registered-shape equivalence test,17
b7c1,b905,2.184318870742095,False,coarse descriptor only; not a semantic or registered-shape equivalence test,18
b812,b871,2.1944345242382295,False,coarse descriptor only; not a semantic or registered-shape equivalence test,19
b7c1,b974,2.207438500314137,False,coarse descriptor only; not a semantic or registered-shape equivalence test,20
b8ed,baa9,2.2160190760013423,False,coarse descriptor only; not a semantic or registered-shape equivalence test,21
b871,baa9,2.2170913303344317,False,coarse descriptor only; not a semantic or registered-shape equivalence test,22
b943,b974,2.2366345800772,False,coarse descriptor only; not a semantic or registered-shape equivalence test,23
b812,b827,2.2388898388036824,False,coarse descriptor only; not a semantic or registered-shape equivalence test,24
b905,baa9,2.2806958853339525,False,coarse descriptor only; not a semantic or registered-shape equivalence test,25
b8ed,b905,2.382629709013014,False,coarse descriptor only; not a semantic or registered-shape equivalence test,26
b871,b97b,2.4115484358691193,False,coarse descriptor only; not a semantic or registered-shape equivalence test,27
b8ed,b974,2.429015469123452,False,coarse descriptor only; not a semantic or registered-shape equivalence test,28
b905,b9e6,2.4857884490655633,False,coarse descriptor only; not a semantic or registered-shape equivalence test,29
b80b,b8ed,2.4889420568992455,False,coarse descriptor only; not a semantic or registered-shape equivalence test,30
b871,b974,2.5134066602814653,False,coarse descriptor only; not a semantic or registered-shape equivalence test,31
b827,b9e6,2.5223687423353485,False,coarse descriptor only; not a semantic or registered-shape equivalence test,32
b80b,baa9,2.5509802616574055,False,coarse descriptor only; not a semantic or registered-shape equivalence test,33
b7c1,b943,2.5953906950024654,False,coarse descriptor only; not a semantic or registered-shape equivalence test,34
b7c1,b80b,2.597168046410678,False,coarse descriptor only; not a semantic or registered-shape equivalence test,35
b97b,baa9,2.619701153169583,False,coarse descriptor only; not a semantic or registered-shape equivalence test,36
b80b,b943,2.6337632714481014,False,coarse descriptor only; not a semantic or registered-shape equivalence test,37
b943,baa9,2.6422055531934245,False,coarse descriptor only; not a semantic or registered-shape equivalence test,38
b7c1,b871,2.6462548153826964,False,coarse descriptor only; not a semantic or registered-shape equivalence test,39
b812,bb7c,2.6553946551361625,False,coarse descriptor only; not a semantic or registered-shape equivalence test,40
b8ed,b943,2.731206124046709,False,coarse descriptor only; not a semantic or registered-shape equivalence test,41
b812,b8ed,2.7851824228282624,False,coarse descriptor only; not a semantic or registered-shape equivalence test,42
b80b,b97b,2.8143048917227502,False,coarse descriptor only; not a semantic or registered-shape equivalence test,43
b812,baa9,2.847716092506275,False,coarse descriptor only; not a semantic or registered-shape equivalence test,44
b827,b871,2.8532407798026327,False,coarse descriptor only; not a semantic or registered-shape equivalence test,45
b812,b905,2.9111229794852926,False,coarse descriptor only; not a semantic or registered-shape equivalence test,46
b7c1,b97b,2.9425165618003915,False,coarse descriptor only; not a semantic or registered-shape equivalence test,47
b974,b97b,2.963216236115891,False,coarse descriptor only; not a semantic or registered-shape equivalence test,48
baa9,bb7c,3.039627128125262,False,coarse descriptor only; not a semantic or registered-shape equivalence test,49
b871,b9e6,3.044813824047875,False,coarse descriptor only; not a semantic or registered-shape equivalence test,50
b871,b8ed,3.0819604699713627,False,coarse descriptor only; not a semantic or registered-shape equivalence test,51
b8ed,bb7c,3.092358583884062,False,coarse descriptor only; not a semantic or registered-shape equivalence test,52
b7c1,bb7c,3.100788243375088,False,coarse descriptor only; not a semantic or registered-shape equivalence test,53
b80b,b871,3.140255461680214,False,coarse descriptor only; not a semantic or registered-shape equivalence test,54
b7c1,b812,3.1418875583710126,False,coarse descriptor only; not a semantic or registered-shape equivalence test,55
b905,b97b,3.1856114464481977,False,coarse descriptor only; not a semantic or registered-shape equivalence test,56
b943,b9e6,3.195972994919592,False,coarse descriptor only; not a semantic or registered-shape equivalence test,57
b827,b974,3.236221460022802,False,coarse descriptor only; not a semantic or registered-shape equivalence test,58
b8ed,b9e6,3.250764529490422,False,coarse descriptor only; not a semantic or registered-shape equivalence test,59
b812,b97b,3.286464871433331,False,coarse descriptor only; not a semantic or registered-shape equivalence test,60
b812,b943,3.3408067417828486,False,coarse descriptor only; not a semantic or registered-shape equivalence test,61
b97b,b9e6,3.3601523927112,False,coarse descriptor only; not a semantic or registered-shape equivalence test,62
b9e6,baa9,3.3868362600267807,False,coarse descriptor only; not a semantic or registered-shape equivalence test,63
b871,b905,3.4141869277043932,False,coarse descriptor only; not a semantic or registered-shape equivalence test,64
b871,bbc6,3.497075580743219,False,coarse descriptor only; not a semantic or registered-shape equivalence test,65
b97b,bbc6,3.516306699732731,False,coarse descriptor only; not a semantic or registered-shape equivalence test,66
b97b,bb7c,3.52458974511613,False,coarse descriptor only; not a semantic or registered-shape equivalence test,67
b7c1,b9e6,3.553139802470033,False,coarse descriptor only; not a semantic or registered-shape equivalence test,68
b8ed,b97b,3.5657279400257242,False,coarse descriptor only; not a semantic or registered-shape equivalence test,69
b871,bb7c,3.6825079381671832,False,coarse descriptor only; not a semantic or registered-shape equivalence test,70
b974,bbc6,3.6989115210603347,False,coarse descriptor only; not a semantic or registered-shape equivalence test,71
b827,bb7c,3.7134034066852957,False,coarse descriptor only; not a semantic or registered-shape equivalence test,72
b827,bbc6,3.854056698733172,False,coarse descriptor only; not a semantic or registered-shape equivalence test,73
baa9,bbc6,3.9422066552361175,False,coarse descriptor only; not a semantic or registered-shape equivalence test,74
b80b,b827,3.9724803719206796,False,coarse descriptor only; not a semantic or registered-shape equivalence test,75
